Rk,Player,Pos,Age,Team?,G,MP,WR,TS,FTr,3PAr,FG,2P,3P,eFG,FT,,
166,Bobby Portis,C,25,MIL,66,1372,0.639,0.598,0.122,0.263,0.523,0.542,0.471,0.585,0.74,,
167,Giannis Antetokounmpo,PF,26,MIL,61,2013,0.639,0.633,0.528,0.201,0.569,0.636,0.303,0.6,0.685,,
168,Jrue Holiday,PG,30,MIL,59,1907,0.639,0.592,0.165,0.344,0.503,0.561,0.392,0.57,0.787,,
169,Thanasis Antetokounmpo,SF,28,MIL,57,551,0.639,0.523,0.358,0.212,0.489,0.556,0.241,0.515,0.51,,
170,Sam Merrill,SG,24,MIL,30,233,0.639,0.603,0.056,0.653,0.444,0.44,0.447,0.59,1,,
171,Jordan Nwora,SF,22,MIL,30,274,0.639,0.586,0.185,0.459,0.459,0.466,0.452,0.563,0.76,,
172,Duncan Robinson,SF,26,MIA,72,2262,0.556,0.628,0.105,0.855,0.439,0.625,0.408,0.614,0.827,,
173,Bam Adebayo,C,23,MIA,64,2143,0.556,0.626,0.443,0.01,0.57,0.573,0.25,0.571,0.799,,
174,Andre Iguodala,SF,37,MIA,63,1339,0.556,0.519,0.153,0.734,0.383,0.53,0.33,0.504,0.658,,
175,Precious Achiuwa,PF,21,MIA,61,737,0.556,0.55,0.482,0.004,0.544,0.546,0,0.544,0.509,,
176,Kendrick Nunn,PG,25,MIA,56,1650,0.556,0.596,0.091,0.486,0.485,0.583,0.381,0.578,0.933,,
177,Tyler Herro,SG,21,MIA,54,1635,0.556,0.543,0.167,0.425,0.439,0.497,0.36,0.516,0.803,,
178,Jimmy Butler,SF,31,MIA,52,1745,0.556,0.607,0.565,0.139,0.497,0.538,0.245,0.514,0.863,,
179,Goran Dragi?,PG,34,MIA,50,1337,0.556,0.552,0.22,0.44,0.432,0.479,0.373,0.514,0.828,,
180,Gabe Vincent,PG,24,MIA,50,655,0.556,0.498,0.099,0.639,0.378,0.5,0.309,0.476,0.87,,
181,Max Strus,SF,24,MIA,39,507,0.556,0.597,0.128,0.791,0.455,0.897,0.338,0.588,0.667,,
182,KZ Okpala,PF,21,MIA,37,447,0.556,0.448,0.156,0.521,0.375,0.522,0.24,0.438,0.533,,
183,Trevor Ariza,SF,35,MIA,30,841,0.556,0.542,0.183,0.593,0.411,0.5,0.35,0.515,0.773,,
184,Tyus Jones,PG,24,MEM,70,1222,0.528,0.511,0.109,0.339,0.431,0.487,0.321,0.485,0.911,,
185,Kyle Anderson,PF,27,MEM,69,1887,0.528,0.578,0.28,0.397,0.468,0.539,0.36,0.54,0.783,,
186,Desmond Bane,SG,22,MEM,68,1519,0.528,0.6,0.098,0.543,0.469,0.513,0.432,0.586,0.816,,
187,Dillon Brooks,SF,25,MEM,67,1997,0.528,0.515,0.189,0.361,0.419,0.461,0.344,0.481,0.815,,
188,Ja Morant,PG,21,MEM,63,2053,0.528,0.537,0.389,0.252,0.449,0.499,0.303,0.487,0.729,,
189,Jonas Valan?i?nas,C,28,MEM,62,1755,0.528,0.636,0.273,0.077,0.592,0.611,0.368,0.606,0.773,,
190,Brandon Clarke,PF,24,MEM,59,1415,0.528,0.56,0.228,0.156,0.517,0.565,0.26,0.537,0.69,,
191,Xavier Tillman Sr.,PF,22,MEM,59,1085,0.528,0.605,0.177,0.217,0.558,0.62,0.339,0.595,0.641,,
192,De'Anthony Melton,PG,22,MEM,52,1045,0.528,0.568,0.13,0.537,0.438,0.467,0.412,0.548,0.804,,
193,Grayson Allen,SG,25,MEM,50,1259,0.528,0.586,0.22,0.662,0.418,0.471,0.391,0.547,0.868,,
194,John Konchar,SG,24,MEM,43,575,0.528,0.609,0.217,0.406,0.5,0.585,0.375,0.576,0.833,,
195,Justise Winslow,SF,24,MEM,26,507,0.528,0.395,0.167,0.257,0.352,0.41,0.185,0.376,0.571,,
196,Montrezl Harrell,C,27,LAL,69,1580,0.583,0.65,0.424,0.017,0.622,0.632,0,0.622,0.707,,
197,Kyle Kuzma,SF,25,LAL,68,1954,0.583,0.546,0.128,0.502,0.443,0.525,0.36,0.533,0.691,,
198,Kentavious Caldwell-Pope,SG,27,LAL,67,1902,0.583,0.588,0.221,0.579,0.431,0.46,0.41,0.549,0.866,,
199,Talen Horton-Tucker,SG,20,LAL,65,1304,0.583,0.536,0.264,0.268,0.458,0.522,0.282,0.496,0.775,,
200,Markieff Morris,PF,31,LAL,61,1200,0.583,0.509,0.132,0.553,0.405,0.521,0.311,0.491,0.72,,
201,Dennis Schröder,SG,27,LAL,61,1956,0.583,0.543,0.32,0.279,0.437,0.476,0.335,0.484,0.848,,
202,Alex Caruso,PG,26,LAL,58,1216,0.583,0.547,0.249,0.449,0.436,0.464,0.402,0.526,0.645,,
203,Wesley Matthews,SG,34,LAL,58,1130,0.583,0.517,0.163,0.782,0.353,0.418,0.335,0.484,0.854,,
204,Marc Gasol,C,36,LAL,52,993,0.583,0.607,0.258,0.629,0.454,0.528,0.41,0.582,0.72,,
205,LeBron James,PG,36,LAL,45,1504,0.583,0.602,0.31,0.346,0.513,0.591,0.365,0.576,0.698,,
206,Alfonzo McKinnie,SF,28,LAL,39,258,0.583,0.604,0.194,0.419,0.516,0.593,0.41,0.602,0.556,,
207,Anthony Davis,PF,27,LAL,36,1162,0.583,0.556,0.349,0.163,0.491,0.536,0.26,0.512,0.738,,
208,Devontae Cacok,PF,24,LAL,20,98,0.583,0.576,0.379,0,0.586,0.586,,0.586,0.455,,
209,Ivica Zubac,C,23,LAC,72,1609,0.653,0.693,0.434,0.01,0.652,0.656,0.25,0.654,0.789,,
210,Nicolas Batum,SF,32,LAC,67,1835,0.653,0.617,0.141,0.66,0.464,0.579,0.404,0.597,0.828,,
211,Reggie Jackson,SG,30,LAC,67,1544,0.653,0.576,0.14,0.482,0.45,0.465,0.433,0.554,0.817,,
212,Terance Mann,SG,24,LAC,67,1263,0.653,0.603,0.269,0.26,0.509,0.54,0.418,0.563,0.83,,
213,Luke Kennard,SG,24,LAC,63,1232,0.653,0.608,0.075,0.541,0.476,0.51,0.446,0.597,0.839,,
214,Marcus Morris,PF,31,LAC,57,1502,0.653,0.614,0.152,0.507,0.473,0.472,0.473,0.592,0.82,,
215,Paul George,SF,30,LAC,54,1821,0.653,0.598,0.239,0.436,0.467,0.51,0.411,0.557,0.868,,
216,Kawhi Leonard,SF,29,LAC,52,1773,0.653,0.623,0.325,0.28,0.512,0.557,0.398,0.568,0.885,,
217,Amir Coffey,SG,23,LAC,44,394,0.653,0.585,0.369,0.544,0.437,0.468,0.411,0.549,0.711,,
218,Serge Ibaka,C,31,LAC,41,955,0.653,0.585,0.145,0.315,0.51,0.588,0.339,0.563,0.811,,
219,Patrick Patterson,PF,31,LAC,38,582,0.653,0.571,0.103,0.679,0.436,0.604,0.357,0.558,0.765,,
220,Patrick Beverley,PG,32,LAC,37,832,0.653,0.58,0.204,0.641,0.423,0.468,0.397,0.55,0.8,,
221,Daniel Oturu,C,21,LAC,30,161,0.653,0.471,0.231,0.096,0.423,0.447,0.2,0.433,0.75,,
